MsgID.STATE,1521024548.8232663,False,False
MsgID.GLOBAL_POSITION,1521024557.2979081,-122.3974625,37.7926433,4.9930000
MsgID.LOCAL_VELOCITY,1521024557.2979081,8.8500000,0.0000000,0.1100000
MsgID.LOCAL_POSITION,1521024557.5480847,20.4425335,-0.9968578,-4.9973817
MsgID.LOCAL_VELOCITY,1521024557.5480847,8.8679829,0.0080660,0.1344832
MsgID.GLOBAL_POSITION,1521024557.5486648,-122.3974612,37.7926639,4.9970000
MsgID.LOCAL_VELOCITY,1521024557.5486648,8.8600000,0.0000000,0.1300000
MsgID.LOCAL_POSITION,1521024557.7968473,22.6281090,-0.8965791,-4.9935718
MsgID.LOCAL_VELOCITY,1521024557.7968473,8.8724709,0.0030396,0.1546673
MsgID.GLOBAL_POSITION,1521024557.7974637,-122.3974600,37.7926836,4.9930000
MsgID.LOCAL_VELOCITY,1521024557.7974637,8.8700000,0.0000000,0.1500000
MsgID.STATE,1521024558.0216339,True,True
MsgID.GLOBAL_HOME,1521024558.0220339,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,1521024558.0469537,24.8012600,-0.9415983,-4.9950662
MsgID.LOCAL_VELOCITY,1521024558.0469537,8.8802853,-0.0086986,0.1439976
MsgID.GLOBAL_POSITION,1521024558.0883243,-122.3974605,37.7927032,4.9950000
MsgID.LOCAL_VELOCITY,1521024558.0883243,8.8800000,0.0000000,0.1400000
MsgID.LOCAL_POSITION,1521024558.3042159,27.0636482,-0.8590435,-4.9978099
MsgID.LOCAL_VELOCITY,1521024558.3042159,8.8873510,-0.0121378,0.1158495
MsgID.GLOBAL_POSITION,1521024558.3044941,-122.3974596,37.7927235,4.9970000
MsgID.LOCAL_VELOCITY,1521024558.3044941,8.8800000,-0.0100000,0.1100000
MsgID.LOCAL_POSITION,1521024558.5529556,28.9966965,-0.8941774,-4.9934425
MsgID.LOCAL_VELOCITY,1521024558.5529556,8.8856230,-0.0193146,0.1072521
MsgID.GLOBAL_POSITION,1521024558.5535131,-122.3974600,37.7927409,4.9930000
MsgID.LOCAL_VELOCITY,1521024558.5535131,8.8800000,-0.0100000,0.1000000
MsgID.LOCAL_POSITION,1521024558.8044662,31.3693295,-0.9359947,-4.9890485
MsgID.LOCAL_VELOCITY,1521024558.8044662,8.9104300,-0.0193659,-0.0058385
MsgID.GLOBAL_POSITION,1521024558.8047543,-122.3974605,37.7927623,4.9890000
MsgID.LOCAL_VELOCITY,1521024558.8047543,8.9100000,-0.0100000,0.0000000
MsgID.STATE,1521024559.0219514,True,True
MsgID.GLOBAL_HOME,1521024559.0222416,-122.3974500,37.7924800,0.0000000
MsgID.LOCAL_POSITION,1521024559.0536737,33.5789948,-0.8684168,-4.9893341
MsgID.LOCAL_VELOCITY,1521024559.0536737,8.9016914,-0.0176840,0.0056691
MsgID.GLOBAL_POSITION,1521024559.0963295,-122.3974597,37.7927822,4.9890000
MsgID.LOCAL_VELOCITY,1521024559.0963295,8.9000000,-0.0100000,0.0000000
MsgID.GLOBAL_POSITION,1521024559.3048358,-122.3974624,37.7928053,4.9850000
MsgID.LOCAL_VELOCITY,1521024559.3048358,8.8900000,-0.0200000,0.0100000
MsgID.LOCAL_POSITION,1521024559.3052123,36.1485596,-1.1042815,-4.9859262
MsgID.LOCAL_VELOCITY,1521024559.3052123,8.8901119,-0.0221992,0.0112115
MsgID.GLOBAL_POSITION,1521024559.5550535,-122.3974616,37.7928223,4.9890000
MsgID.LOCAL_VELOCITY,1521024559.5550535,8.8800000,0.0000000,0.0100000
MsgID.LOCAL_POSITION,1521024559.5553582,38.0378494,-1.0366181,-4.9891477
MsgID.LOCAL_VELOCITY,1521024559.5553582,8.8853054,0.0003970,0.0139113
MsgID.GLOBAL_POSITION,1521024559.8035336,-122.3974610,37.7928424,4.9820000
MsgID.LOCAL_VELOCITY,1521024559.8035336,8.8800000,0.0000000,0.0100000
MsgID.LOCAL_POSITION,1521024559.8037531,40.2688446,-0.9825894,-4.9827781
MsgID.LOCAL_VELOCITY,1521024559.8037531,8.8822680,0.0095958,0.0144244
MsgID.STATE,1521024560.0232215,True,True
MsgID.GLOBAL_HOME,1521024560.0237846,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1521024560.0643547,-122.3974616,37.7928615,4.9820000
MsgID.LOCAL_VELOCITY,1521024560.0643547,8.8900000,0.0000000,-0.0400000
MsgID.LOCAL_POSITION,1521024560.0646706,42.3969345,-1.0338844,-4.9821320
MsgID.LOCAL_VELOCITY,1521024560.0646706,8.8991966,0.0016858,-0.0410439
MsgID.GLOBAL_POSITION,1521024560.3041868,-122.3974611,37.7928838,4.9790000
MsgID.LOCAL_VELOCITY,1521024560.3041868,8.8800000,0.0000000,0.0100000
MsgID.LOCAL_POSITION,1521024560.3043849,44.8700523,-0.9948294,-4.9799385
MsgID.LOCAL_VELOCITY,1521024560.3043849,8.8826437,0.0040639,0.0176537
MsgID.GLOBAL_POSITION,1521024560.5540137,-122.3974605,37.7929024,4.9770000
MsgID.LOCAL_VELOCITY,1521024560.5540137,8.8900000,0.0000000,-0.0500000
MsgID.LOCAL_POSITION,1521024560.5544844,46.9419403,-0.9382079,-4.9778762
MsgID.LOCAL_VELOCITY,1521024560.5544844,8.8949862,0.0020300,-0.0514598
MsgID.GLOBAL_POSITION,1521024560.8050287,-122.3974603,37.7929236,4.9750000
